cinv;cislo;budt;mist;osc;zapl;nazev;poh;nomenkl;kat;typmajet;ucet;datzar;trida;mj;cenamj;czcpa;skp;jkpov;druh;cmnoz;ccena;fizd;hjz;dod;cdokpor;cdok;vyrcis;rok;evcis;cinnost;zak;najz;naji;naj;pracn;datpok;kontr;zpinv;zptck;pozn;obr;prilohy
101;D01070001;903;221;;23.4.2024;skartovačka Fellowes;861;;;1;84;31.1.2007;84;ks;2869,00;27.90.11;30.0;;;1,000;2869,00;;;48111198;ZD1070001;P240126;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070010;903;4807;;11.12.2024;přetl. infuz. manžeta;861;;;1;91;31.1.2007;91;ks;614,31;32.50.50;33.10;;;1,000;614,31;;;;ZD1070010;P240442;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070011;903;1807;;18.9.2025;přetl. infuz. manžeta;861;;;1;91;31.1.2007;91;ks;614,31;32.50.50;33.10;;;1,000;614,31;;;;ZD1070011;P250290;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070033;903;403;;1.12.2022;úschovný box černý;861;;;1;86;28.2.2007;86;ks;2024,50;22.22.13;;;;1,000;2024,50;;;63886731;ZD1070033;P220313;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070034;903;408;;18.6.2024;úschovný box černý;861;;;1;86;28.2.2007;86;ks;2024,50;22.22.13;;;;1,000;2024,50;;;63886731;ZD1070034;P240192;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070035;903;408;;18.6.2024;úschovný box černý;861;;;1;86;28.2.2007;86;ks;2024,50;22.22.13;;;;1,000;2024,50;;;63886731;ZD1070035;P240192;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070042;903;221;;23.4.2024;varná konvice 1,5l;861;Kladno04/26;;1;98;30.3.2007;98;ks;599,00;27.90.11;;;;1,000;599,00;;;;ZD1070042;P240126;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070112;903;408;;13.5.2024;transp. křeslo ROLMAN;860;;;1;81;31.5.2007;81;ks;22785,00;32.50.50;33.10;;;1,000;22785,00;;;64506592;ZD1070112;P240152;7-2-2022;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070116;903;1807;;18.9.2025;přetl. infuz. manžeta;861;;;1;91;31.5.2007;91;ks;614,31;32.50.50;33.10;;;1,000;614,31;;;;ZD1070116;P250290;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070119;903;72EP;;29.12.2025;taška na obv. materiál;861;;;1;81;31.5.2007;81;ks;1885,04;32.50.50;33.10;;;1,000;1885,04;;;;ZD1070119;P250415;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070121;903;2810;;20.3.2026;vak. matrace MEBER;861;;;1;81;31.5.2007;81;ks;10719,70;32.50.50;33.10;;;1,000;10719,70;;;;ZD1070121;P260091;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070150;903;217;;1.12.2022;sada nářadí;861;;;1;86;31.7.2007;;ks;1845,00;25.73.60;;;;1,000;1845,00;;;;ZD1070150;P220306;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01070175;903;2810;;20.3.2026;brašna na krční límce;861;;;1;81;31.10.2007;;ks;1082,90;32.50.50;33.10;;;1,000;1082,90;;;;ZD1070175;P260091;;2007;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01080001;903;403;;1.12.2022;úschovný box černý;861;;;1;86;31.1.2008;;ks;2249,10;22.22.13;;;;1,000;2249,10;;;63886731;ZD1080001;P220313;;2008;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01080119;903;217;;1.12.2022;autonabíječka 12V-10A;861;;;1;98;3.12.2008;;ks;999,00;27.90.11;;;;1,000;999,00;;;;ZD1080119;P220306;;2008;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01080120;903;403;;1.12.2022;svěrák;861;;;1;86;3.12.2008;;ks;2000,00;25.73.60;;;;1,000;2000,00;;;;ZD1080120;P220313;;2008;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01080138;903;202;;31.10.2023;"monitor Acer LCD 19"" + repro";861;989;;1;84;31.12.2008;;ks;3874,50;26.20.17;30.0;;;1,000;3874,50;;;18595715;ZD1080138;P230349;83900988142;2008;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01080140;903;403;;1.12.2022;"mom. klíč + ořech ""19""";861;102;;1;86;31.12.2008;;ks;5413,00;25.73.60;;;;1,000;5413,00;;;48036021;ZD1080140;P220313;;2008;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090017;903;403;;1.12.2022;botník;861;;;1;85;26.5.2009;;ks;10115,00;31.09.13;36.1;;;1,000;10115,00;;;71113363;ZD1090017;P220313;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090076;903;218;;1.12.2022;police závěsná HP120;861;;;1;85;20.11.2009;;ks;1253,00;31.09.13;36.1;;;1,000;1253,00;;;25723146;ZD1090076;P220296;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090092;903;2810;;20.3.2026;dlaha vakuová na HK;861;901;;1;81;15.12.2009;;ks;1557,44;32.50.50;33.10;;;1,000;1557,44;;;;ZD1090092;P260091;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090102;903;9098;;1.12.2022;tonometr BOSO ROID II.;861;922;;1;91;15.12.2009;;ks;963,57;32.50.50;33.10;;;1,000;963,57;;;;ZD1090102;P220279;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090104;903;2810;;20.3.2026;plachta záchran.;861;;;1;81;15.12.2009;;ks;1861,00;32.50.50;33.10;;;1,000;1861,00;;;;ZD1090104;P260091;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090105;903;4807;;11.12.2024;plachta záchran.;861;Kladno04/26;;1;81;15.12.2009;;ks;1861,00;32.50.50;33.10;;;1,000;1861,00;;;;ZD1090105;P240442;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090107;903;9098;;1.12.2022;plachta záchran.;861;Kladno04/26;;1;81;15.12.2009;;ks;1861,00;32.50.50;33.10;;;1,000;1861,00;;;;ZD1090107;P220279;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090150;903;221;;23.4.2024;židle LYRA;861;;;1;85;31.12.2009;;ks;3739,90;13.92.16;36.1;;;1,000;3739,90;;;25723146;ZD1090150;P240126;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01090151;903;224;;1.12.2022;chladnička s mrazákem EE;861;;;1;86;31.12.2009;;ks;9899,00;27.90.11;;;;1,000;9899,00;;;60719257;ZD1090151;P220308;;2009;;;;0,00;0,000;0,00;;;;2;2;;;
